exp,condition,participant,trialno,aiming_target,rotation_deg,aimingdeviation_deg,arrow_offset,phase
4,aiming,307bc8,69,105,45,-34,15,rotation
4,aiming,307bc8,70,135,45,-41,15,rotation
4,aiming,307bc8,71,75,45,-44,15,rotation
4,aiming,307bc8,72,45,45,-41,15,rotation
4,aiming,307bc8,73,45,45,-38,15,rotation
4,aiming,307bc8,74,135,45,-42,15,rotation
4,aiming,307bc8,75,105,45,-43,15,rotation
4,aiming,307bc8,76,75,45,-42,15,rotation
4,aiming,307bc8,77,135,45,-42,15,rotation
4,aiming,307bc8,78,105,45,-38,15,rotation
4,aiming,307bc8,79,75,45,-41,15,rotation
4,aiming,307bc8,80,45,45,-37,15,rotation
4,aiming,307bc8,81,105,45,-40,15,rotation
4,aiming,307bc8,82,75,45,-46,15,rotation
4,aiming,307bc8,83,135,45,-40,15,rotation
4,aiming,307bc8,84,45,45,-39,15,rotation
4,aiming,307bc8,85,105,45,-37,15,rotation
4,aiming,307bc8,86,135,45,-38,15,rotation
4,aiming,307bc8,87,45,45,-38,15,rotation
4,aiming,307bc8,88,75,45,-39,15,rotation
4,aiming,307bc8,89,45,45,-40,15,rotation
4,aiming,307bc8,90,135,45,NA,15,rotation
4,aiming,307bc8,91,105,45,-35,15,rotation
4,aiming,307bc8,92,75,45,-42,15,rotation
4,aiming,307bc8,93,135,45,-37,15,rotation
4,aiming,307bc8,94,75,45,-40,15,rotation
4,aiming,307bc8,95,45,45,-39,15,rotation
4,aiming,307bc8,96,105,45,-38,15,rotation
4,aiming,307bc8,97,135,45,-45,15,rotation
4,aiming,307bc8,98,75,45,-37,15,rotation
4,aiming,307bc8,99,105,45,-37,15,rotation
4,aiming,307bc8,100,45,45,-35,15,rotation
4,aiming,307bc8,101,105,45,-37,15,rotation
4,aiming,307bc8,102,135,45,-36,15,rotation
4,aiming,307bc8,103,45,45,-37,15,rotation
4,aiming,307bc8,104,75,45,-35,15,rotation
4,aiming,307bc8,105,105,45,-36,15,rotation
4,aiming,307bc8,106,45,45,-41,15,rotation
4,aiming,307bc8,107,135,45,-44,15,rotation
4,aiming,307bc8,108,75,45,-40,15,rotation
4,aiming,307bc8,109,75,45,-44,15,rotation
4,aiming,307bc8,110,45,45,-35,15,rotation
4,aiming,307bc8,111,135,45,-40,15,rotation
4,aiming,307bc8,112,105,45,-38,15,rotation
4,aiming,307bc8,113,75,45,-37,15,rotation
4,aiming,307bc8,114,105,45,-39,15,rotation
4,aiming,307bc8,115,45,45,-38,15,rotation
4,aiming,307bc8,116,135,45,-38,15,rotation
4,aiming,307bc8,117,45,45,-37,15,rotation
4,aiming,307bc8,118,135,45,-40,15,rotation
4,aiming,307bc8,119,105,45,-40,15,rotation
4,aiming,307bc8,120,75,45,-40,15,rotation
4,aiming,cbaa25,1,135,0,2,15,baseline
4,aiming,cbaa25,2,75,0,1,15,baseline
4,aiming,cbaa25,3,45,0,2,15,baseline
4,aiming,cbaa25,4,105,0,1,15,baseline
4,aiming,cbaa25,5,105,0,1,15,baseline
4,aiming,cbaa25,6,45,0,1,15,baseline
4,aiming,cbaa25,7,135,0,1,15,baseline
4,aiming,cbaa25,8,75,0,1,15,baseline
4,aiming,cbaa25,9,135,0,1,15,baseline
4,aiming,cbaa25,10,105,0,0,15,baseline
4,aiming,cbaa25,11,45,0,3,15,baseline
4,aiming,cbaa25,12,75,0,1,15,baseline
4,aiming,cbaa25,13,105,0,1,15,baseline
4,aiming,cbaa25,14,75,0,2,15,baseline
4,aiming,cbaa25,15,135,0,2,15,baseline
4,aiming,cbaa25,16,45,0,2,15,baseline
4,aiming,cbaa25,17,135,0,3,15,baseline
4,aiming,cbaa25,18,45,0,2,15,baseline
4,aiming,cbaa25,19,105,0,1,15,baseline
4,aiming,cbaa25,20,75,0,0,15,baseline
4,aiming,cbaa25,21,135,45,1,15,rotation
4,aiming,cbaa25,22,105,45,2,15,rotation
4,aiming,cbaa25,23,45,45,3,15,rotation
4,aiming,cbaa25,24,75,45,2,15,rotation
4,aiming,cbaa25,25,135,45,1,15,rotation
4,aiming,cbaa25,26,105,45,3,15,rotation
4,aiming,cbaa25,27,45,45,4,15,rotation
4,aiming,cbaa25,28,75,45,2,15,rotation
4,aiming,cbaa25,29,135,45,2,15,rotation
4,aiming,cbaa25,30,105,45,1,15,rotation
4,aiming,cbaa25,31,75,45,2,15,rotation
4,aiming,cbaa25,32,45,45,2,15,rotation
4,aiming,cbaa25,33,105,45,1,15,rotation
4,aiming,cbaa25,34,135,45,2,15,rotation
4,aiming,cbaa25,35,45,45,2,15,rotation
4,aiming,cbaa25,36,75,45,2,15,rotation
4,aiming,cbaa25,37,105,45,1,15,rotation
4,aiming,cbaa25,38,45,45,4,15,rotation
4,aiming,cbaa25,39,75,45,2,15,rotation
4,aiming,cbaa25,40,135,45,1,15,rotation
4,aiming,cbaa25,41,135,45,3,15,rotation
4,aiming,cbaa25,42,45,45,3,15,rotation
4,aiming,cbaa25,43,75,45,0,15,rotation
4,aiming,cbaa25,44,105,45,0,15,rotation
4,aiming,cbaa25,45,75,45,-1,15,rotation
4,aiming,cbaa25,46,135,45,3,15,rotation
4,aiming,cbaa25,47,45,45,3,15,rotation
4,aiming,cbaa25,48,105,45,2,15,rotation
4,aiming,cbaa25,49,135,45,3,15,rotation
4,aiming,cbaa25,50,75,45,1,15,rotation
4,aiming,cbaa25,51,45,45,2,15,rotation
4,aiming,cbaa25,52,105,45,2,15,rotation
4,aiming,cbaa25,53,75,45,1,15,rotation
4,aiming,cbaa25,54,105,45,2,15,rotation
4,aiming,cbaa25,55,45,45,3,15,rotation
4,aiming,cbaa25,56,135,45,3,15,rotation
4,aiming,cbaa25,57,135,45,4,15,rotation
4,aiming,cbaa25,58,105,45,1,15,rotation
4,aiming,cbaa25,59,75,45,2,15,rotation
4,aiming,cbaa25,60,45,45,3,15,rotation
4,aiming,cbaa25,61,135,45,2,15,rotation
4,aiming,cbaa25,62,45,45,1,15,rotation
4,aiming,cbaa25,63,105,45,NA,15,rotation
4,aiming,cbaa25,64,75,45,NA,15,rotation
4,aiming,cbaa25,65,45,45,NA,15,rotation
4,aiming,cbaa25,66,105,45,NA,15,rotation
4,aiming,cbaa25,67,75,45,NA,15,rotation
4,aiming,cbaa25,68,135,45,NA,15,rotation
4,aiming,cbaa25,69,45,45,NA,15,rotation
4,aiming,cbaa25,70,75,45,NA,15,rotation
4,aiming,cbaa25,71,135,45,NA,15,rotation
4,aiming,cbaa25,72,105,45,NA,15,rotation
4,aiming,cbaa25,73,45,45,NA,15,rotation
